GO_ID	GO_Label	Evidence_Code	Original_Reference	Action	Rationale
GO:0003677	DNA binding	IEA	GO_REF:0000043	KEEP_AS_NON_CORE	Generic term; superseded by more specific functions (GO:0003690, GO:0031491)
GO:0005634	nucleus	IEA	GO_REF:0000044	ACCEPT	Core cellular localization
GO:0006351	DNA-templated transcription	IEA	GO_REF:0000043	REMOVE	Misleading; SIR4 represses transcription, not activates it
GO:0005515	protein binding	IPI	PMID:11689698	ACCEPT	Core function; binds RAP1, SIR2, SIR3, YKU80, etc.
GO:0005515	protein binding	IPI	PMID:11805837	ACCEPT	Mass spec evidence for complex membership
GO:0005515	protein binding	IPI	PMID:14551211	ACCEPT	Documented YKU80 interaction
GO:0005515	protein binding	IPI	PMID:15282295	ACCEPT	Biochemical evidence for complex assembly
GO:0005515	protein binding	IPI	PMID:16429126	ACCEPT	Proteome survey evidence
GO:0005515	protein binding	IPI	PMID:16554755	ACCEPT	Global protein complex landscape
GO:0005515	protein binding	IPI	PMID:16717101	ACCEPT	SIR3 interaction characterization
GO:0005515	protein binding	IPI	PMID:17043313	ACCEPT	SIR2 interaction documentation
GO:0005515	protein binding	IPI	PMID:17410207	ACCEPT	Histone chaperone interactions
GO:0005515	protein binding	IPI	PMID:19536198	ACCEPT	Chaperone-protein interaction atlas
GO:0005515	protein binding	IPI	PMID:21179020	ACCEPT	Chromatin-associated interactome
GO:0005515	protein binding	IPI	PMID:23452847	ACCEPT	RAP1 and NUP170 interaction
GO:0005515	protein binding	IPI	PMID:37968396	ACCEPT	Contemporary interactome studies
GO:0031507	heterochromatin formation	NAS	PMID:15282295	ACCEPT	Core silencing function
GO:0031509	subtelomeric heterochromatin formation	IMP	PMID:1913809	ACCEPT	Classical position effect study
GO:0031509	subtelomeric heterochromatin formation	IMP	PMID:22654676	ACCEPT	Structure-function mutational analysis
GO:0031509	subtelomeric heterochromatin formation	IMP	PMID:9501103	ACCEPT	Ku-dependent DSB repair linkage
GO:0000781	chromosome, telomeric region	IMP	PMID:27122604	ACCEPT	Functional requirement for telomere organization
GO:0000781	chromosome, telomeric region	IDA	PMID:9710643	ACCEPT	In vivo telomere binding
GO:0031509	subtelomeric heterochromatin formation	IMP	PMID:26587833	ACCEPT	SIR4 abundance-dependent assembly
GO:0030466	silent mating-type cassette heterochromatin formation	IMP	PMID:26587833	ACCEPT	HML/HMR silencing requirement
GO:0060090	molecular adaptor activity	IMP	PMID:12080091	ACCEPT	Bridge between RAP1 and SIR2/SIR3
GO:0097695	establishment of protein-containing complex localization to telomere	IMP	PMID:29290466	ACCEPT	Complex recruitment to telomeres
GO:0003690	double-stranded DNA binding	IDA	PMID:22654676	ACCEPT	In vitro DNA-binding activity
GO:0003690	double-stranded DNA binding	IMP	PMID:22654676	ACCEPT	Functional requirement for DNA binding
GO:0006303	double-strand break repair via nonhomologous end joining	IMP	PMID:9501103	MARK_AS_OVER_ANNOTATED	Indirect effect through telomere stabilization
GO:0030466	silent mating-type cassette heterochromatin formation	IMP	PMID:22654676	ACCEPT	Structural domain requirement study
GO:0030466	silent mating-type cassette heterochromatin formation	IGI	PMID:22654676	ACCEPT	Genetic interaction evidence
GO:0030466	silent mating-type cassette heterochromatin formation	IMP	PMID:3297920	ACCEPT	Seminal position effect study
GO:0031453	positive regulation of heterochromatin formation	IMP	PMID:26587833	ACCEPT	SIR4 abundance regulates silencing extent
GO:0034398	telomere tethering at nuclear periphery	IMP	PMID:26399229	ACCEPT	Quiescence-related telomere positioning
GO:0034398	telomere tethering at nuclear periphery	IMP	PMID:27122604	ACCEPT	Nuclear membrane hyperclustering
GO:0003690	double-stranded DNA binding	IDA	PMID:19217406	ACCEPT	In vitro reconstitution evidence
GO:0005677	chromatin silencing complex	IDA	PMID:9122169	ACCEPT	Component of SIR2-SIR3-SIR4 complex
GO:0031491	nucleosome binding	IDA	PMID:19217406	ACCEPT	In vitro complex-nucleosome interaction
