symbol,species,role,selection_basis,launch_status,notes
NaAO2,NICAT,pyridine branch aspartate oxidase,"Cell 2026 pathway framing plus prior N. attenuata root-pathway literature",provisional_accession,"Review through AO candidate jobs while exact public symbol mapping catches up"
NaNAMNH,NICAT,NAMN hydrolase supplying nicotinic acid,"Cell 2026 biochemical identification",pending_accession,"Core Cell addition not yet surfaced cleanly in current public gene annotations"
NaQPT2,NICAT,pyridine branch quinolinate phosphoribosyltransferase,"PNAS 2017 plus Frontiers 2025 root-specific expression and Cell 2026 complete-pathway context",provisional_accession,"Review through QPT candidate jobs"
NaODC1,NICAT,pyrrolidine precursor supply,"Frontiers 2025 root-specific expression plus older nicotine-pathway literature",provisional_accession,"Current public annotation exposes ODC-like paralogs rather than stable NaODC1 naming"
NaODC2,NICAT,pyrrolidine precursor supply,"Frontiers 2025 root-specific expression plus older nicotine-pathway literature",provisional_accession,"Current public annotation exposes ODC-like paralogs rather than stable NaODC2 naming"
NaPMT1.1,NICAT,putrescine N-methyltransferase,"Cell 2026 minimal reconstruction component plus older pathway literature",launch_ready,"Maps cleanly to UniProt PMT1"
NaPMT1.2,NICAT,putrescine N-methyltransferase paralog,"Frontiers 2025 root-specific expression plus older pathway literature",launch_ready,"Maps cleanly to UniProt PMT2"
NaMPO1,NICAT,N-methylputrescine oxidase,"Cell 2026 minimal reconstruction component plus older pathway literature",pending_accession,"Likely AMO/DAO-family entry; accession mapping still unresolved"
NaUGT1,NICAT,glucosyltransferase forming NG,"Cell 2026 biochemical identification",pending_accession,"New Cell-era core step"
NaA622,NICAT,late condensation step joining the two nicotine rings,"Cell 2026 plus prior A622 literature",launch_ready,"Mapped via NCBI LOC109206509 to IFRH_2"
NaBBL1,NICAT,late oxidation after condensation,"Cell 2026 plus prior BBL literature",provisional_accession,"Review through BBL candidate jobs"
NaBBL2,NICAT,late oxidation after condensation,"Cell 2026 minimal reconstruction component plus prior BBL literature",provisional_accession,"Review through BBL candidate jobs"
NaBGL1,NICAT,deglycosylation from NG to nicotine,"Cell 2026 biochemical identification",provisional_accession,"BGLU42 is the best current public candidate"
NaBGL2,NICAT,deglycosylation from NG to nicotine,"Cell 2026 biochemical identification",pending_accession,"Second BGL copy not yet resolved in public annotation"
NaMATE1,NICAT,vacuolar membrane metabolon transporter/export step,"Cell 2026 mechanistic reconstitution",pending_accession,"Current MATE/DTX candidates are not yet cleanly mapped"
NaNUP,NICAT,nicotine transport follow-up gene,"Frontiers 2025 root-specific transport literature",follow_up,"Track after the catalytic and metabolon core"
NaERF1-like,NICAT,root-specific transcriptional regulator,"PNAS 2017 and Frontiers 2025 regulatory context",excluded_seed,"Important regulator but outside the initial enzyme/transport seed set"
NaMYC2,NICAT,jasmonate-responsive transcriptional regulator,"PNAS 2017 regulatory context",excluded_seed,"Track later as a pathway-control follow-up"

